DS_Resids;Measles;PFA;Meningitis;Dengue;Covid-19;Rift;WN;CHIK;YF;CCHF
DakarCentre;90;0;57;31;22891;0;18;2;20;1
DakarNord;38;0;0;0;4640;0;0;0;0;0
DakarOuest;25;0;0;0;8233;0;0;0;0;0
DakarSud;102;0;0;0;5888;0;0;0;0;0
Diamniadio;13;0;0;0;707;0;0;0;1;0
Guediawaye;19;0;10;10;2075;0;0;0;0;0
KeurMassar;46;0;0;0;1335;0;0;0;0;0
Mbao;36;0;1;0;1822;0;0;0;0;0
Pikine;43;0;9;0;1246;0;0;0;0;0
Rufisque;10;0;1;0;2118;0;0;0;0;0
Sangalkam;33;0;0;0;292;0;0;0;0;0
Yeumbeul;37;0;0;0;455;0;0;0;0;0
Bambey;8;1;0;0;45;0;0;0;0;0
Diourbel;7;1;0;0;479;0;0;0;0;0
Mbacke;2;0;0;0;100;0;0;0;0;0
Touba;44;6;8;2;1346;0;1;0;1;0
Diakhao;1;0;0;0;20;0;0;0;0;0
Dioffior;4;0;0;0;30;0;0;0;0;0
Fatick;0;0;24;13;225;5;0;0;2;2
Foundiougne;1;0;0;0;23;0;0;0;0;0
Gossas;2;0;0;0;9;0;0;0;0;0
Niakhar;0;0;0;0;7;0;0;0;0;0
Passy;1;0;0;0;16;0;0;0;0;0
Sokone;26;1;3;0;64;1;0;0;0;0
Birkelane;0;0;0;0;6;0;0;0;0;0
Kaffrine;7;0;7;29;23;0;1;0;1;0
Koungheul;0;0;0;0;15;0;0;0;0;0
MalemHodar;0;0;0;0;4;0;0;0;0;0
Guinguineo;2;0;0;0;29;0;0;0;0;0
Kaolack;25;1;8;12;1494;0;0;0;0;0
Ndoffane;0;0;0;0;12;0;0;0;0;0
Nioro;8;0;0;0;47;0;0;0;0;0
Kedougou;62;0;7;2;284;0;1;0;0;0
Saraya;55;0;0;0;91;0;0;0;0;0
Salemata;6;0;0;0;1;0;0;0;0;0
Kolda;3;0;4;3;414;0;0;0;2;0
MedinaYoroFoulah;1;0;0;0;1;0;0;0;0;0
Velingara;24;0;0;0;130;0;0;0;0;0
Coki;2;0;1;0;28;0;0;0;0;0
Dahra;1;0;0;0;112;0;0;0;0;0
DarouMousty;0;1;0;0;16;0;0;0;0;0
Kebemer;14;1;0;0;42;0;0;0;0;0
KeurMomarSarr;1;0;2;0;6;0;0;0;0;0
Linguere;9;0;0;1;58;0;0;0;0;0
Louga;5;0;26;5;307;0;0;0;0;0
Sakal;5;0;0;0;35;0;0;0;0;0
Kanel;4;0;0;0;17;0;0;0;0;0
Matam;5;1;30;5;377;5;9;2;2;3
Ranerou;51;0;0;0;9;0;0;0;0;0
Thilogne;2;1;23;80;24;2;6;0;2;2
Dagana;0;0;0;0;28;0;0;0;0;0
Pete;3;0;0;0;45;0;0;0;0;0
Podor;7;0;0;0;105;0;0;0;0;0
RichardToll;0;0;2;74;379;0;2;0;6;1
SaintLouis;1;0;3;0;895;0;0;0;0;0
Bounkiling;3;0;0;0;55;0;0;0;0;0
Goudomp;3;0;0;0;11;0;0;0;0;0
Sedhiou;3;0;4;0;290;0;0;0;0;0
Bakel;8;0;0;0;12;0;0;0;0;0
DiankheMakha;3;0;0;0;1;0;0;0;0;0
Goudiry;24;0;0;0;66;0;0;0;0;0
Kidira;16;0;0;0;2;0;0;0;0;0
Koumpentoum;13;0;0;0;41;0;0;0;0;0
Makacoulibantang;0;0;0;0;6;0;0;0;0;0
Tambacounda;88;0;16;3;199;0;3;0;0;0
Joal;5;0;0;0;70;0;0;0;0;0
Khombole;5;0;0;0;150;0;0;0;0;0
Mbour;11;1;9;20;1373;0;1;0;0;2
Mekhe;4;0;0;0;75;0;0;0;0;0
Poponguine;5;0;0;0;548;0;0;0;0;0
Pout;1;0;0;0;236;0;0;0;0;0
Thiadiaye;1;0;0;0;66;0;0;0;0;0
Thies;7;2;4;1;2395;0;0;0;0;0
Tivaoune;8;1;0;0;688;0;0;0;0;0
Bignona;1;0;0;0;218;0;0;0;0;0
Diouloulou;2;0;0;0;18;0;0;0;0;0
Oussouye;6;0;0;0;83;0;0;0;0;0
ThionckEssyl;1;0;0;0;28;0;0;0;0;0
Ziguinchor;6;0;0;0;1163;0;0;0;0;0
